Bevétel;Cég;dbszám;függvénynek;ism;Gyáriszám;hadrianus azonosító;Gyártó;Típus;CPU Típus;CPU Modell;CPU Órajel (mhz);Ram (mb);Ram típus;hdd (gb);hdd típus;állapot (%);badsector (db);cd/dvd;kijelző mérete;kijelző típusa;kijelző felbontás;VGA típusa;VGA kimenet;webcam;Licensz;Licensz sorszám;Billentyűzet nyelve;Akku;állapot;Műszaki hiba;Esztétikai hiba;csomagolás;javítva/bővítve;Besz.ár;ár 1-20;ár 20+;kisker;Nettó eladási ár;Eladás dátuma;Szállító;számlázó kategoria;számlázó leltár;leltár dátum;raktárhely;egyéb;Leírás;nettó kisker ár;NYERESÉG;Szállító - javitás
2021.09.14;Egis;1;#HIÁNYZIK;;;H21/3:6120;Acer;Aspire 5742;Pentium;;;4096;ddr3;nincs;;;;dvd-rw;15;;HD (1366 x 768);integrált;hdmi;webcam;Win 7 pro;;magyar;rossz;használt D;nem kapcsol be, elavult;kopott, sérült burkolat;nincs;;2000;;;;13 390;2021.11.17;vatera;notebook;0;;;;;;11390;vatera
2021.03.01;InbevPraha;1;#HIÁNYZIK;;LXAKE0X070804005F82300;H21/0:5632;Acer;Aspire 9920;Core 2 Duo;;2200;2048;ddr2;nincs;;;;dvd-rw;19;;;integrált;nincs;webcam;;;magyar;rossz;használt D;hiányos, nem kapcsol be;kopott;nincs;;0;;;;;;;notebook;1;2022.01.07;006;;;;;
2019.12.12;Waberers;1;#HIÁNYZIK;;n.a;H19/3:1134;Acer;Travelmate 200;Celeron;;550;64;sd;nincs;;;;cd;12;;;integrált;nincs;nincs;;;magyar;rossz;használt C;hiányos, elavult;törött;nincs;;500;;;;nincs raktáron;2021.12.31;alkatrésznek;notebook;0;;;;;;-500;alkatrésznek
2021.09.01;raktárról;1;#HIÁNYZIK;;;H21/3:1004;Asus;A3000;Celeron M;;1500;256;ddr;40;;;;dvd;14;;;;;nincs;;;magyar;rossz;használt D;elavult;;nincs;;0;;;;1 812;2021.10.19;vatera;notebook;0;;;;;;1812;vatera
2021.09.14;Takarékinfo;1;#HIÁNYZIK;;;H21/3:7206;ASUS;A4000;;?;;?;ddr;?;sata hdd;;;nincs;;;;?;s-video;nincs;Win Xp home;00043615075945;magyar;;használt D;elavult, hiányos cd/dvd, hiányos billentyűzet;kopott, törött;nincs;;0;;;;;vatera - 2021.11.23;;notebook;1;2022.01.07;vatera;;;;;
2021.10.07;Takarékinfo;1;#HIÁNYZIK;;8AN0AS47323543H;H21/3:4158;ASUS;F5SR;Core 2 Duo;P8700;2530;2048;ddr2;nincs;;;;dvd-rw;15;;WXGA (1280 X 800);integrált;rca;webcam;Win 7 pro;;magyar;rossz;használt C;hiányos, rossz akku;erősen kopott;nincs;;0;;;;5 302;2021.11.18;vatera;notebook;0;;;;;;5302;vatera
2021.09.14;Takarékinfo;1;#HIÁNYZIK;;96N0AS416359264;H21/3:7106;Asus;K50IJ;Pentium;;;;;;;;;;;;;;;;;;;;használt D;elavult;;nincs;;0;;;;8 661;2021.11.19;vatera;notebook;0;;;;;;8661;vatera
2021.09.14;Takarékinfo;1;#HIÁNYZIK;;n.a;H21/3:7105;Asus;X51L;Pentium;;;;;;;;;;;;;;;;;;;;használt D;elavult;;nincs;;0;;;;240;2021.11.18;vatera;notebook;0;;;;;;240;vatera
2021.11.25;Elmű;1;#HIÁNYZIK;;F2N0CJ075540095;H21/4:4401;Asus;;;;;;;500;sata hdd;100;0;nincs;12;;;;;webcam;Win 8 pro;;magyar;;használt D;nem kapcsol be;karcos;nincs;;0;;;;;;;notebook;1;2022.01.07;011;;;;;
2019.12.12;Waberers;1;#HIÁNYZIK;;9X31KSBZM09S;H19/3:1136;Compaq;Evo 1015V;AMD;;?;256;ddr;nincs;;;;cd;14;;;integrált;nincs;nincs;;;magyar;rossz;használt D;hiányos, alaplap hibás;kopott, törött;nincs;;500;;;;nincs raktáron;2021.12.31;alkatrésznek;notebook;0;;;;;;-500;alkatrésznek
