Projekt dátuma;Beszállító;mennyiség;függvénynek;ism;gyári szám;hadrianus azonosító;Gyártó;Modellnév;CPU Típus;CPU Modell;CPU Órajel (mhz);Ram (mb);Ram típus;hdd (gb);hdd típus;hdd állapot (%);hdd bad sector (db);optikai meghajtó;kijelző mérete;kijelző típus;kijelző felbontás;VGA típusa;VGA kimenet;webcam;Licensz;Licensz sorszám;Billentyűzet nyelve;Akku;állapot;műszaki eltérés / hiba;esztétikai eltérés / hiba;csomagolás;utolsó javítás/bővítés dátuma;nettó beszerzési ár;nagyker listaár;nagyker mennyiségi ár;EUR;zárolás;nettó eladási ár;eladás dátuma;vevő kategória - név;vevő kategória;vevő neve;NYERESÉG;számlázó kategória;számlázó készlet;raktár;leltár dátum;raktárhely;árlista;Leírás;nettó kisker ár;projektnév;tesztelés dátuma;Saját készletre vételezés dátuma
2021.03.01;InbevPraha;1;#HIÁNYZIK;;LXAKE0X070804005F82300;H21/0:5632;Acer;Aspire 9920;Core 2 Duo;;2200;2048;ddr2;nincs;;;;dvd-rw;19;;;integrált;nincs;webcam;;;magyar;rossz;használt D;hiányos, nem kapcsol be;kopott;nincs;;0;;;;;;;;;;;notebook;1;hadrianus;2022.01.07;006;;;;20210301_InbevPraha;2021.03.03;2021.05.05
2022.04.19;Takarékinfó;1;#HIÁNYZIK;;;H22/1:2438;Apple;Macbook;;;;4096;ddr2;160;sata hdd;;;;;;;;;;;;;;használt D;elavult selejt, nincs töltő;;nincs;;1000;;;;;;;;;;;notebook;1;hadrianus;;;;;;20220419_Takarékinfó;2022.04.28;2022.05.04
2022.06.02;Libri;1;#HIÁNYZIK;;W88010V5766;H22/1:8279;Apple;Macbook White;;;;1024;ddr;120;sata hdd;;;dvd;14;;;integrált;;webcam;;;magyar;nincs;használt D;nincs akku, selejt elavult;display foltos, karcos törött burkolat;nincs;;1000;;;;;;;;;;;notebook;1;20220602_Libri;;;;;;20220602_Libri;2022.06.16;2022.06.24
2021.03.23;Egis;1;#HIÁNYZIK;;;H21/1:0518;Dell;E5540;Core i5;4310;2000;nincs;ddr3;nincs;;;;dvd-rw;15;;;;hdmi;webcam;Win 8 pro;;magyar;nincs;használt C;hiányos, bios pass;kopott, burkolat sérült;nincs;;2000;;;;;;;;;;;notebook;1;hadrianus;2022.01.07;081;;;;20210323_Egis;2021.05.03;2021.05.05
2021.03.23;Egis;1;#HIÁNYZIK;;;H21/1:0516;Dell;E6530;Core i5;3340;2300;nincs;ddr3;320;sata hdd;100;0;dvd-rw;15;;;;hdmi;webcam;Win 8 pro;;magyar;gyenge;használt C;hiányos, bios pass;sérült burkolat;nincs;;2000;;;;;11 813;2022.08.15;vatera;vatera;;9813;notebook;0;hadrianus;2022.01.07;083;;;;20210323_Egis;2021.05.03;2021.05.05
2021.03.23;Egis;1;#HIÁNYZIK;;;H21/1:0515;Dell;E6530;Core i5;3340;2300;nincs;ddr3;320;sata hdd;98;0;dvd-rw;15;;;;hdmi;webcam;Win 8 pro;;magyar;gyenge;használt C;hiányos, bios pass;;nincs;;2000;;;;;;;;;;;notebook;1;hadrianus;2022.01.07;083;;;;20210323_Egis;2021.05.03;2021.05.05
2021.03.23;Egis;1;#HIÁNYZIK;;;H21/1:0517;Dell;E6530;Core i5;3340;2300;nincs;ddr3;320;sata hdd;98;0;dvd-rw;15;;;;hdmi;webcam;Win 8 pro;;magyar;gyenge;használt C;hiányos, bios pass;;nincs;;2000;;;;vatera - 2022.08.30;;;;;;;notebook;1;hadrianus;2022.01.07;083;;;;20210323_Egis;2021.05.03;2021.05.05
2021.05.07;Avon;1;#HIÁNYZIK;;7JNLQ32;H21/1:9059;Dell;E7250;Core i5;5300U;2300;nincs;ddr3;nincs;;;;nincs;12;;;integrált;display port;webcam;nincs;;magyar;nincs;használt C;hiányos;enyhén kopott touchpad és billentyűzet, karcos fedlap, display foltos;nincs;;20000;;;;;;;;;;;notebook;1;hadrianus;2022.01.07;088;;;;20210507_Avon;2021.06.21;2021.07.16
2022.04.19;Takarékinfó;1;#HIÁNYZIK;;21HDTQ1;H22/1:2265;Dell;Inspiron 14z N411z;Core i5;2430M;2400;4096;ddr3;nincs;sata ssd;;;dvd-rw;14;;HD (1366 x 768);Integralt;hdmi;webcam;Win 7 pro;00180451909213;magyar;rossz;használt C;nincs ssd, rossz akku;kopott burkolat, touchpad és billentyűzet;nincs;;4000;;;;;;;;;;;notebook;1;hadrianus;;;;;;20220419_Takarékinfó;2022.04.28;2022.05.04
2022.04.19;Takarékinfó;1;#HIÁNYZIK;;GRD6GW1;H22/1:2444;Dell;Inspiron 7520;Core i7;3632QM;2200;8192;ddr3;nincs;;;;dvd-rw;15;;FHD (1920 x 1080);integrált;hdmi;webcam;nincs;;magyar;gyenge;használt C;hiányos;karcos;nincs;;2000;;;;;;;;;;;notebook;1;hadrianus;;;;;;20220419_Takarékinfó;2022.04.28;2022.05.04
2021.05.31;Futureal;1;#HIÁNYZIK;;CTHLC82;H21/1:6745;Dell;Latitude 3470;Core i5;6200U;2300;12288;ddr3;240;sata ssd;98;0;nincs;14;;;integrált;hdmi;webcam;Win 8 pro;;magyar;gyenge;használt A-;;display foltos, kopott;nincs;;24000;84000;80000;205,1;;;;;;;;notebook;1;hadrianus;2022.09.15;271;árlista;;;20210531_Futureal;2021.06.11;2021.06.18
2022.08.02;KHBank;1;#HIÁNYZIK;;96sbx33;H22/2:7771;Dell;Latitude 5400;Core i5;8365U;1600;16384;ddr4;256;m2nvme ssd;100;0;nincs;14;;FHD (1920 x 1080);integrált;hdmi;webcam;Win 10 pro;;magyar;ok;használt A-;;kopott;nincs;;16000;;;;;;;;;;;notebook;1;hadrianus;;;;;;20220802_KHBank;2022.09.07;2022.09.28
